lon,lat
-86.28494594,27.91037735
-86.27540908,28.03157028
-86.44226933,28.07237832
-86.87025872,27.96911069
-86.60267607,27.73610742
-86.0523269,27.79443959
-85.91256722,27.64728714
-86.08166682,27.9497961
-86.17414588,28.09798205
-86.29002373,28.14978563
-86.4070517,28.12378016
-86.50993337,28.00806575
-86.71881887,27.63615194
-86.80285228,27.89652233
-86.99543308,27.95681021
-86.94389998,27.80434894
-87.00645319,27.84216852
-86.95920282,27.8209744
-86.98968609,27.71692815
-86.88925549,27.4806333
-86.94495486,27.95887369
-86.92080637,28.327226
-87.09579047,28.65257485
-87.29186284,28.75508706
-87.42610923,28.7388665
-87.68943173,28.68822777
-87.808,28.698
